Generation,Best fitness,Worst fitness,Average fitness
362,40.0,6.8,18.185714285714294
363,42.4,5.0,18.362244897959197
364,44.0,5.0,19.4234693877551
365,39.4,5.0,18.18775510204084
366,40.4,3.0,19.504081632653065
367,40.2,4.6,20.513265306122438
368,38.4,6.0,19.465306122448993
369,41.2,7.2,20.9377551020408
370,42.2,6.0,22.120408163265285
371,42.8,6.0,20.970408163265322
372,43.0,5.4,20.823469387755093
373,45.2,5.6,21.79081632653059
374,42.8,6.2,20.33877551020409
375,41.4,5.0,19.715306122448983
376,40.6,5.8,19.761224489795914
377,43.4,7.6,21.186734693877558
378,42.6,6.8,20.859183673469403
379,43.0,7.2,20.90408163265305
380,44.2,5.6,20.91428571428573
381,44.2,6.6,20.45408163265304
382,44.2,4.2,19.697959183673465
383,41.6,3.8,20.016326530612265
384,42.8,6.0,20.926530612244925
385,43.6,7.0,22.719387755102026
386,42.4,9.2,23.010204081632633
387,42.8,7.2,21.859183673469396
388,44.2,5.2,21.521428571428565
389,41.6,4.2,19.421428571428567
390,43.4,5.2,21.0622448979592
391,45.2,8.0,21.9581632653061
392,40.2,6.6,21.17448979591836
393,43.0,6.0,21.56632653061224
394,40.4,4.6,22.021428571428547
395,40.2,6.2,18.490816326530613
396,42.6,7.0,19.122448979591834
397,41.0,5.8,20.031632653061248
398,44.4,6.4,20.993877551020415
399,42.6,4.2,22.459183673469386
400,43.0,6.4,19.804081632653066
401,42.8,6.0,21.606122448979615
402,43.2,7.4,21.13979591836733
403,38.0,3.0,19.14285714285714
404,41.2,5.6,20.349999999999987
405,45.2,6.0,22.074489795918346
406,43.2,5.6,21.527551020408147
407,42.8,7.2,21.471428571428604
408,41.8,7.6,21.256122448979585
409,43.4,5.2,21.936734693877558
410,42.2,5.8,23.633673469387723
411,41.4,5.6,22.810204081632648
412,45.0,2.2,23.01224489795918
413,43.2,5.2,22.334693877551015
414,41.8,6.0,22.355102040816334
415,42.8,6.2,24.52346938775512
416,42.2,7.8,22.641836734693875
417,42.0,5.6,21.13979591836736
418,41.4,7.6,20.701020408163256
419,41.6,4.2,21.892857142857146
420,41.4,5.6,22.229591836734688
421,42.4,7.2,22.62755102040816
422,40.0,6.8,19.245918367346945
423,44.6,5.6,21.3469387755102
424,44.0,7.2,21.483673469387785
425,42.8,6.4,21.60102040816328
426,43.6,3.4,19.2673469387755
427,42.0,5.8,19.271428571428576
428,43.4,3.0,20.98469387755103
429,41.6,7.0,20.792857142857155
430,42.0,4.6,20.123469387755087
431,44.2,4.0,20.75510204081632
432,43.8,5.0,20.05714285714288
433,40.6,6.0,19.612244897959183
434,42.0,5.8,21.02959183673469
435,42.0,5.6,21.972448979591853
436,41.4,3.4,21.402040816326547
437,41.4,5.2,21.91530612244898
438,42.0,5.2,21.809183673469366
439,42.4,5.6,21.270408163265298
440,45.8,4.6,23.638775510204052
441,43.4,4.2,23.415306122448975
442,42.4,2.8,21.808163265306106
443,42.8,4.2,20.462244897959184
444,43.4,6.8,21.613265306122447
445,43.4,6.4,23.527551020408158
446,44.0,8.0,22.90816326530614
447,43.8,7.4,22.70714285714287
448,46.6,8.6,24.326530612244895
449,43.2,7.4,24.29693877551019
450,42.8,8.2,23.088775510204094
451,43.8,6.6,22.633673469387745
452,41.2,6.4,21.561224489795915
453,41.6,5.0,20.72040816326532
454,42.4,6.4,20.611224489795923
455,46.4,4.4,21.75102040816327
456,42.2,6.2,19.639795918367337
457,43.8,5.6,19.503061224489805
458,40.8,6.4,20.456122448979603
459,44.0,4.0,22.060204081632648
460,45.2,8.2,21.65408163265305
461,42.6,7.4,21.75306122448981
462,44.0,3.2,20.505102040816325
463,45.2,6.4,20.589795918367344
464,47.4,4.2,22.582653061224487
465,41.0,6.8,22.378571428571426
466,42.8,7.4,23.11122448979592
467,43.8,5.4,24.82142857142856
468,43.6,8.8,24.35408163265306
469,43.2,6.6,23.153061224489786
470,44.8,7.8,23.85510204081632
471,43.4,6.8,22.771428571428572
472,41.4,8.6,22.082653061224487
473,45.2,4.2,23.3969387755102
474,42.2,5.4,22.50102040816327
475,43.4,6.6,21.10102040816325
476,43.2,7.6,22.798979591836723
477,43.8,7.8,21.810204081632644
478,46.4,5.0,21.147959183673464
479,46.2,6.8,21.71122448979591
480,43.4,6.8,23.019387755102066
481,42.2,7.2,21.404081632653043
482,42.6,7.0,20.17551020408162
483,39.2,7.0,18.748979591836722
484,43.6,7.0,20.20204081632651
485,43.0,6.8,20.685714285714262
486,42.0,6.4,20.778571428571432
487,43.0,6.6,21.336734693877546
488,45.4,6.4,23.085714285714282
489,45.8,7.4,23.335714285714285
490,42.8,4.6,21.9591836734694
491,40.2,6.0,20.77244897959182
492,45.6,6.4,22.37448979591837
493,42.8,9.4,21.06326530612247
494,40.8,6.6,20.430612244897983
495,42.8,5.8,21.76326530612246
496,43.0,6.4,21.406122448979584
497,43.2,8.0,22.219387755102037
498,44.0,7.6,22.62551020408164
499,44.0,6.6,21.98877551020406
500,43.6,7.4,22.82551020408161
501,44.6,6.8,21.653061224489797
502,43.0,8.0,22.21326530612243
503,40.2,8.2,21.04387755102041
504,43.8,8.4,22.04183673469389
505,44.4,4.4,22.390816326530615
506,44.2,5.2,21.925510204081622
507,43.8,6.8,22.589795918367347
508,43.6,6.4,21.37448979591837
509,43.6,7.0,22.298979591836744
510,42.2,7.8,22.301020408163264
511,46.2,8.6,23.34489795918367
512,42.8,8.2,21.925510204081633
513,42.4,5.0,21.133673469387748
514,48.8,3.2,21.6295918367347
515,42.6,8.4,22.35510204081632
516,43.4,8.0,23.0
517,42.4,8.0,24.274489795918356
518,44.4,8.4,24.280612244897945
519,44.8,8.4,23.41326530612246
520,44.6,6.4,22.13163265306125
521,44.4,5.2,23.788775510204054
522,43.8,7.2,22.761224489795918
523,41.6,6.4,22.80102040816328
524,42.4,8.0,22.811224489795922
525,43.4,6.2,21.551020408163257
526,42.6,5.2,21.872448979591855
527,44.4,6.4,21.96632653061224
528,42.6,6.6,21.798979591836723
529,39.6,5.4,19.31530612244899
530,45.0,4.2,22.25306122448981
531,43.6,5.6,22.580612244897964
532,46.4,6.2,23.05102040816327
533,44.8,4.8,22.3918367346939
534,43.6,2.8,23.18673469387756
535,45.8,8.2,23.493877551020418
536,40.8,7.0,21.35
537,42.8,6.0,22.56836734693878
538,42.8,6.8,22.031632653061223
539,42.6,7.0,22.368367346938765
540,43.8,5.6,21.45408163265309
541,43.4,6.6,21.768367346938778
542,42.6,7.4,21.171428571428567
543,40.2,6.2,21.471428571428568
544,41.8,3.4,20.86836734693877
545,43.4,5.6,22.36836734693878
546,44.0,8.2,22.17653061224489
547,44.4,5.8,21.323469387755104
548,46.0,7.0,21.654081632653064
549,45.4,6.6,20.788775510204093
550,43.4,5.6,21.12244897959184
551,43.2,8.4,21.5326530612245
552,43.6,6.8,21.539795918367357
553,44.2,5.4,22.842857142857138
554,45.0,3.2,23.913265306122458
555,42.6,4.0,21.552040816326535
556,42.6,6.4,20.06224489795919
557,44.6,6.0,21.20408163265305
558,43.0,4.4,20.047959183673477
559,44.2,4.0,20.02244897959181
560,43.0,5.4,20.61122448979591
561,44.2,2.0,20.76632653061222
562,41.8,4.6,21.33367346938774
563,44.4,6.2,22.040816326530607
564,42.4,6.8,22.0204081632653
565,45.4,7.6,22.818367346938768
566,45.4,8.0,23.70612244897961
567,45.8,7.0,23.528571428571443
568,41.0,7.4,23.31326530612243
569,40.8,7.0,22.261224489795932
570,43.0,5.8,22.645918367346965
571,43.4,5.4,21.774489795918374
572,43.4,6.0,23.16632653061223
573,41.4,4.2,20.78163265306124
574,43.8,7.8,21.807142857142846
575,45.2,6.8,21.919387755102022
576,42.2,8.6,20.80918367346938
577,44.6,5.2,23.69387755102042
578,43.4,7.0,20.648979591836735
579,44.8,7.2,21.723469387755102
580,45.6,2.8,22.5408163265306
581,45.4,5.0,22.646938775510197
582,42.2,5.2,19.88163265306121
583,43.8,6.0,20.582653061224494
584,43.8,8.0,21.059183673469402
585,43.8,4.6,21.17448979591838
586,42.6,2.6,19.764285714285702
587,41.8,4.4,20.0122448979592
588,44.2,4.0,21.314285714285706
589,44.2,4.4,21.47244897959182
590,43.2,4.0,20.49489795918365
591,42.8,5.4,21.317346938775533
592,43.8,6.6,21.29285714285715
593,44.0,6.0,20.371428571428574
594,44.2,6.4,22.30510204081631
595,42.6,4.0,20.62244897959182
596,44.8,5.2,22.66530612244896
597,46.6,6.8,23.936734693877554
598,44.4,7.6,23.118367346938783
599,46.8,5.2,22.686734693877526
600,42.6,7.6,21.255102040816322
601,43.8,6.6,20.939795918367366
602,42.8,4.0,21.6765306122449
603,43.8,6.0,21.400000000000013
604,44.0,5.2,19.843877551020405
605,43.6,2.8,21.552040816326528
606,40.4,6.6,21.180612244897965
607,42.6,6.6,21.409183673469382
608,42.0,4.4,20.775510204081627
609,44.4,6.0,21.124489795918365
610,46.8,4.0,21.909183673469407
611,44.6,6.0,20.416326530612235
612,40.0,4.0,19.835714285714285
613,42.4,7.8,21.097959183673478
614,43.8,5.0,20.169387755102058
615,44.0,7.0,21.095918367346943
616,43.0,5.4,20.52448979591836
617,44.8,5.6,22.55918367346937
618,43.4,5.6,21.989795918367346
619,43.4,6.0,21.67244897959184
620,44.0,6.2,22.635714285714286
621,43.4,7.0,22.290816326530603
622,44.0,6.4,23.86020408163267
623,41.8,7.4,22.589795918367326
624,45.2,7.4,22.880612244897986
625,44.4,7.2,23.7765306122449
626,40.4,8.4,21.013265306122463
627,43.2,7.8,21.862244897959197
628,47.6,7.8,24.378571428571437
629,45.0,6.2,22.866326530612255
630,44.2,5.6,21.74081632653059
631,42.4,6.8,22.10714285714286
632,42.0,8.0,22.832653061224494
633,43.0,6.4,22.651020408163266
634,40.6,5.8,21.85
635,41.4,9.2,21.851020408163258
636,44.2,8.8,21.782653061224472
637,41.6,7.0,21.346938775510203
638,45.4,6.2,21.697959183673476
639,44.4,7.8,21.88877551020409
640,43.0,3.4,23.459183673469386
641,44.8,6.2,21.922448979591852
642,44.2,7.4,22.05510204081634
643,40.4,5.0,19.74285714285714
644,42.6,5.6,20.82346938775511
645,43.2,6.4,22.31632653061226
646,45.2,6.4,21.79183673469389
647,44.2,8.2,21.961224489795907
648,42.0,5.2,20.232653061224486
649,41.4,8.2,20.967346938775528
650,42.0,3.2,19.153061224489818
651,44.0,5.8,21.229591836734684
652,42.8,4.2,20.51734693877553
653,44.4,5.8,20.493877551020415
654,43.4,5.2,21.091836734693885
655,46.2,5.4,21.96326530612246
656,44.2,6.6,22.506122448979593
657,42.0,3.4,21.704081632653057
658,42.6,7.4,21.902040816326537
659,42.6,6.2,22.2295918367347
660,44.4,6.4,23.057142857142846
661,45.0,6.6,21.69183673469389
662,44.6,7.0,22.182653061224485
663,42.0,5.2,22.88469387755101
664,45.4,6.2,25.224489795918345
665,45.0,9.2,23.494897959183668
666,46.2,7.8,24.309183673469395
667,44.4,8.0,21.684693877551016
668,43.6,6.6,22.211224489795907
669,44.6,8.4,22.26224489795917
670,44.2,8.2,21.156122448979602
671,44.4,5.4,20.66224489795918
672,41.8,5.6,21.291836734693895
673,42.8,5.0,21.89591836734694
674,44.8,6.6,22.057142857142864
675,42.6,3.8,20.07244897959181
676,45.0,8.0,22.321428571428573
677,43.8,5.4,21.21428571428569
678,44.0,5.4,21.47551020408162
679,45.0,7.4,21.400000000000013
680,43.4,5.6,20.333673469387755
681,46.0,6.4,21.83571428571427
682,45.0,3.8,22.385714285714286
683,44.4,7.0,22.256122448979593
684,45.0,8.4,22.06734693877552
685,40.8,8.4,23.209183673469386
686,43.8,6.0,23.415306122449007
687,45.0,3.6,23.076530612244916
688,44.2,5.6,23.66020408163266
689,44.8,6.2,22.6795918367347
690,44.8,6.6,23.2530612244898
691,45.0,5.6,21.858163265306118
692,43.6,7.4,22.570408163265306
693,44.2,7.0,24.041836734693877
694,45.2,7.0,24.271428571428558
695,40.6,7.0,23.24897959183675
696,41.0,5.0,22.553061224489788
697,41.0,3.6,21.424489795918372
698,43.2,8.2,22.44285714285714
699,45.8,8.4,24.202040816326534
700,41.6,5.4,22.457142857142873
701,41.8,6.6,24.35306122448978
702,44.4,6.2,24.347959183673453
703,43.6,6.8,23.652040816326505
704,41.4,7.2,23.324489795918364
705,45.2,7.6,24.47448979591838
706,45.6,6.8,23.45408163265308
707,43.8,7.0,22.279591836734703
708,42.8,6.8,21.11632653061226
709,44.0,8.0,22.352040816326525
710,42.4,5.6,20.79591836734696
711,45.8,6.2,22.053061224489817
712,43.0,7.0,21.371428571428567
713,42.4,6.6,20.504081632653058
714,44.8,7.2,21.425510204081633
715,40.2,4.0,20.193877551020385
716,42.4,5.2,20.41326530612246
717,43.6,6.6,20.897959183673454
718,43.2,6.0,20.831632653061224
719,44.6,4.6,21.946938775510183
720,42.0,5.2,20.639795918367344
721,45.6,7.8,22.83877551020409
722,40.8,5.8,20.88367346938777
723,45.6,7.8,21.674489795918362
724,43.0,7.0,20.863265306122454
725,41.8,4.8,20.765306122448997
726,41.0,7.0,19.338775510204087
727,44.6,4.2,20.802040816326514
728,45.8,5.8,20.637755102040853
729,43.2,6.4,21.27142857142856
730,45.2,8.0,20.6469387755102
731,42.2,5.8,19.035714285714278
732,44.8,7.6,21.68061224489796
733,42.6,6.2,20.34897959183675
734,42.6,6.2,20.423469387755087
735,45.6,7.0,21.851020408163276
736,43.8,7.6,20.570408163265302
737,44.4,6.0,20.260204081632633
738,42.2,5.4,19.16122448979591
739,44.0,6.0,20.418367346938776
740,45.6,7.0,22.46428571428573
741,46.6,8.6,23.67142857142856
742,42.2,7.4,21.20306122448978
743,43.2,6.0,21.569387755102046
744,39.8,5.2,20.554081632653055
745,43.0,6.0,22.464285714285733
746,46.2,5.0,22.475510204081612
747,44.4,6.2,21.459183673469397
748,41.2,3.0,19.136734693877557
749,43.0,6.6,19.919387755102054
750,43.0,6.2,20.453061224489794
751,44.0,5.0,20.91428571428574
752,45.0,3.4,23.229591836734702
753,45.8,7.2,22.252040816326552
754,42.4,5.8,20.682653061224475
755,42.6,5.2,21.712244897959167
756,40.8,5.8,19.848979591836752
757,44.2,7.2,22.068367346938768
758,42.8,4.8,22.117346938775498
759,42.0,7.8,20.92142857142855
760,45.6,6.8,21.777551020408165
761,40.2,7.6,21.220408163265276
762,45.8,5.2,23.739795918367367
763,45.6,8.2,22.678571428571406
764,43.4,8.4,21.38061224489794
765,44.8,4.0,21.81938775510206
766,41.2,8.2,20.083673469387776
767,42.2,6.2,19.247959183673448
768,46.0,7.8,21.37448979591837
769,44.0,4.2,21.756122448979585
770,44.2,7.2,23.5877551020408
771,42.4,6.2,22.826530612244884
772,42.4,6.6,21.401020408163262
773,40.6,6.4,20.87244897959182
774,44.8,7.0,22.10714285714286
